ID,브랜드명,팝업스토어명,카테고리,세부카테고리,시작일,종료일,운영일수,위치,구역,원산지(원본),원산지(정제),콜라보,설명,연도,출처
2362,WHIPPED,WHIPPED Seongsu Pop-up,beauty,,2024-12-12,2025-01-02,,Seoul Seongdong-gu Yeonmujang-gil 14,,Korea,국내,,Beauty brand WHIPPED pop-up with free and paid experience programs. Hours 11:00-20:00.,2024,['https://awsomeemily.tistory.com/entry/2024%EB%85%84-12%EC%9B%94-%EC%84%B1%EC%88%98%EB%8F%99-%ED%8C%9D%EC%97%85%EC%8A%A4%ED%86%A0%EC%96%B4-%EC%B4%9D%EC%A0%95%EB%A6%AC-%EC%B5%9C%EC%8B%A0-%ED%8A%B8%EB%A0%8C%EB%93%9C%EC%99%80-%EB%B0%A9%EB%AC%B8-%EA%B0%80%EC%9D%B4%EB%93%9C']
2363,Disney,Disney 100th Anniversary Pop-up,entertainment,,2024-12-16,2025-01-10,,"Seoul Seongdong-gu Achasan-ro 6, Nudit Seoul Forest",,USA,미국,,Disney 100th anniversary special exhibition and experience pop-up. Hours 12:00-20:00.,2024,['https://awsomeemily.tistory.com/entry/2024%EB%85%84-12%EC%9B%94-%EC%84%B1%EC%88%98%EB%8F%99-%ED%8C%9D%EC%97%85%EC%8A%A4%ED%86%A0%EC%96%B4-%EC%B4%9D%EC%A0%95%EB%A6%AC-%EC%B5%9C%EC%8B%A0-%ED%8A%B8%EB%A0%8C%EB%93%9C%EC%99%80-%EB%B0%A9%EB%AC%B8-%EA%B0%80%EC%9D%B4%EB%93%9C']
2364,Comme des Garcons CDG,CDG Seongsu Pop-up,fashion,,2024-09-22,2024-12-31,,Seoul Seongdong-gu Yeonmujang-gil 35,,Japan,일본,,CDG line various items pop-up store. Hours 11:00-21:00.,2024,['https://awsomeemily.tistory.com/entry/2024%EB%85%84-12%EC%9B%94-%EC%84%B1%EC%88%98%EB%8F%99-%ED%8C%9D%EC%97%85%EC%8A%A4%ED%86%A0%EC%96%B4-%EC%B4%9D%EC%A0%95%EB%A6%AC-%EC%B5%9C%EC%8B%A0-%ED%8A%B8%EB%A0%8C%EB%93%9C%EC%99%80-%EB%B0%A9%EB%AC%B8-%EA%B0%80%EC%9D%B4%EB%93%9C']
2365,Beyond Closet,Beyond Closet Seongsu Pop-up,fashion,,2024-01-15,2024-02-15,,Seoul Seongdong-gu Seongsu-dong,,Korea,국내,,Beyond Closet fashion brand pop-up in Seongsu. Contemporary Korean fashion brand with unique designs.,2024,['http://m.apparelnews.co.kr/news/news_view/?idx=209586']
2366,Hince,Hince Seongsu White Park,beauty,,2024-09-01,permanent,,Seoul Seongdong-gu Seongsu-dong,,Korea (Babawayve),Korea (Babawayve),,Hince's second flagship store 'Seongsu White Park'. Makeup brand targeting 2030 generation. Featured brand ambassador ENHYPEN Sunghoon photo exhibition and exclusive new products.,2024,['https://www.womentimes.co.kr/news/articleView.html?idxno=80812']
2367,Torriden,Torriden Connect Seongsu,beauty,,2024-10-16,permanent,,Seoul Seongdong-gu Seongsu-dong,,Korea,국내,,Conscious beauty brand Torriden's first flagship store. Features skincare products with eco-friendly philosophy.,2024,['https://www.womentimes.co.kr/news/articleView.html?idxno=80812']
2368,Fwee,Fwee Agit Seongsu,beauty,,2025-03-01,permanent,,Seoul Seongdong-gu Seongsu-dong,,Korea,국내,,Makeup brand Fwee's 'Agit Seongsu' flagship store. Features trendy makeup products popular among young consumers.,2025,['https://www.womentimes.co.kr/news/articleView.html?idxno=80812']
2369,IOPE,IOPE Retinol Pop-up,beauty,,2024-09-20,2024-10-05,,Seoul Seongdong-gu Seongsu-dong,,Korea (Amorepacific),Korea (Amorepacific),,IOPE retinol research expertise pop-up. 30 years of retinol research leadership communication with consumers.,2024,['https://www.womentimes.co.kr/news/articleView.html?idxno=80812']
2370,Primera,Primera Brand Pop-up,beauty,,2024-10-12,2024-10-24,,Seoul Seongdong-gu Seongsu-dong,,Korea (Amorepacific),Korea (Amorepacific),,Primera brand story and key product promotion pop-up store in Seongsu.,2024,['https://www.womentimes.co.kr/news/articleView.html?idxno=80812']
2371,Age 20's,Age 20's x Luna Pop-up,beauty,,2024-10-01,2024-10-29,,Seoul Seongdong-gu Seongsu-dong,,Korea (Aekyung),Korea (Aekyung),,Aekyung's Age 20's cushion foundation and Luna makeup brand pop-up. Communicating brand stories as they grow into global brands.,2024,['https://www.womentimes.co.kr/news/articleView.html?idxno=80812']
2372,Real Barrier,Real Barrier Real Cream House,beauty,,2024-10-01,2024-11-04,,Seoul Seongdong-gu Seongsu-dong,,Korea,국내,,Dermo-cosmetic brand Real Barrier's 'Real Cream House' pop-up. Targeting 2030 customers with offline engagement expansion.,2024,['https://www.womentimes.co.kr/news/articleView.html?idxno=80812']
2373,COOR,COOR Seongsu Flagship,fashion,,2024-06-01,permanent,,Seoul Seongdong-gu Seongsu-dong,,Korea,국내,,Contemporary brand COOR's first Seongsu flagship store. Korean fashion brand with modern aesthetic.,2024,['https://www.youtube.com/watch?v=FVitC5NFsZI']
2374,Bottega Veneta,Bottega Veneta Seongsu Campaign,luxury_fashion,,2021-10-01,2021-11-15,,Seoul Seongdong-gu Seongsu-dong cafe street entrance,,Italy,Italy,,Bottega Veneta building wrapping campaign for 2021 Fall Collection at Seongsu cafe street entrance. Poster and art wall installations for MZ generation engagement.,2021,['https://www.exclosetshop.com/trendnews/?bmode=view&idx=11301505']
2375,Gucci,Gucci Seongsu Campaign,luxury_fashion,,2019-10-01,2019-11-30,,Seoul Seongdong-gu Mark 69 cafe,,Italy,Italy,,Gucci TB Monogram print advertising campaign at Mark 69 warehouse cafe. TB logos blended with cafe interior creating Instagram-worthy space. Part of building awareness strategy.,2019,['https://www.exclosetshop.com/trendnews/?bmode=view&idx=11301505']
2376,Stray Kids,SKZOO EVERYWHERE ALL AROUND THE WORLD,kpop_entertainment,,2026-05-01,2026-05-31,,Seoul Seongdong-gu Seongsu-dong,,Korea,국내,,"Stray Kids global pop-up with airport concept. Features passports, boarding passes, check-in counter, security checkpoint experience. 21 types of MD and experience events.",,['https://www.financialreview.co.kr/news/articleView.html?idxno=42058']
2377,Pokémon,Pokemon Metamon Playground,entertainment_character,,2026-05-01,2026-05-31,,Seoul Seongdong-gu Seongsu-dong,,Japan,일본,,"Pokemon 30th anniversary 'Pokemon Mega Festa 2026' pop-up. Record shop concept with Metamon photo zone, 'Transform! Metamon' series, pale Pikachu, moss Marumine plush toys.",,['https://www.financialreview.co.kr/news/articleView.html?idxno=42058']
2378,Airbnb x Cortis,Cortis' Seoul Secret Space,kpop_entertainment,,2026-05-01,2026-05-31,,Seoul Seongdong-gu Seongsu-dong,,Global,Global,,Airbnb x K-pop group Cortis immersive pop-up for mini 2nd album 'GREENGREEN' title track 'REDRED'. Green vs Red concept where fans discover Cortis' taste and album worldview.,,['https://www.financialreview.co.kr/news/articleView.html?idxno=42058']
2379,Yves Saint Laurent Beauty,YSL Beauty Pop-up,luxury_beauty,,2026-05-01,2026-05-31,,Seoul Seongdong-gu Seongsu-dong,,France,프랑스,,YSL Beauty pop-up in Seongsu as part of May 2026 events lineup. Part of luxury beauty brand's Seongsu marketing strategy.,,['https://www.financialreview.co.kr/news/articleView.html?idxno=42058']
2380,Seoul International Garden Expo,2026 Seoul International Garden Expo,exhibition_event,,2026-05-01,2026-10-31,,"Seoul Forest, Seongsu-dong area",,Korea,국내,,"Record-largest garden exhibition with 167 gardens including Pokemon, Kakao Friends character gardens, and brand gardens from Dior, Porsche, Starbucks, Nongshim, Musinsa. Features docent tours, live performances, gardening experiences.",,['https://www.financialreview.co.kr/news/articleView.html?idxno=42058']
2381,Nike,Nike Air Max 'Above the Influence' Pop-up,sports,,2026-03-27,2026-03-29,,ABC Mart Grand Stage Flagship Seongsu outdoor space,,USA,미국,,Nike Air Max campaign 'Above the Influence' celebrating Air Max heritage. Exclusive pre-launch of Air Max 95 Pink Foam. Features sock decorating and pants bottom customizing workshops.,,"['https://fashionbiz.co.kr/article/224931', 'https://www.newstap.co.kr/news/articleView.html?idxno=325140']"
2382,Adidas,Adidas x ABC Mart Pop-up,sports,,2025-12-01,2026-01-15,,"ABC Mart Grand Stage location, Seongsu-dong (before permanent store)",,Germany,독일,,Adidas collaboration pop-up with ABC Mart at Seongsu location. Served as trial period before ABC Mart Grand Stage flagship opening.,2025,['https://fashionbiz.co.kr/article/224931']
2383,Espoir,Espoir Yeonnam Flagship,beauty,,2023-01-01,permanent,,"Seoul (Yeonnam-dong, expanded to Seongsu events)",,Korea (Amorepacific),Korea (Amorepacific),,"Espoir flagship with All Product Zone (online exclusives), Custom & Play (customizable multi-palette), Pro Makeup Consultation Room (1:1 personal color and makeup lessons).",2023,['https://www.apgroup.com/int/ko/our-culture/amorepacific-space/flagship-store/flagship-store.html']
2384,BBIA,BBIA Seongsu Pop-up,beauty,,2025-05-16,2025-05-18,,Seoul Seongdong-gu Seongsu-dong (Musinsa Beauty Festa partner),,Korea,국내,,BBIA makeup brand pop-up as part of Musinsa Beauty Festa. Partnered with 5 nearby beauty flagships for joint benefits.,2025,"['https://v.daum.net/v/fFGYbCtsdN', 'https://picks.my/ko_v2s/s/detail/31429/content.html']"
2385,The Tool Lab,The Tool Lab Seongsu Pop-up,beauty_tools,,2025-05-16,2025-05-18,,Seoul Seongdong-gu Seongsu-dong (Musinsa Beauty Festa partner),,Korea,국내,,Beauty tool brand The Tool Lab pop-up as part of Musinsa Beauty Festa partnership with 5 Seongsu beauty flagships.,2025,"['https://v.daum.net/v/fFGYbCtsdN', 'https://picks.my/ko_v2s/s/detail/31429/content.html']"
2386,Laurarola,Laurarola Petite Maison,fashion,,2025-01-01,permanent,,Seoul Seongdong-gu Yeonmujang-gil area,,Korea,국내,,Laurarola Petite Maison store in Seongsu. Popular among shoppers with busy atmosphere. Fashion brand targeting young female consumers.,2025,['https://www.the-pr.co.kr/news/articleView.html?idxno=61283']
2387,PEACH SPC,PEACH SPA,beauty,,2026-01-01,2026-02-28,,Seoul Seongdong-gu Seongsu-dong,,Korea,국내,,"WHIPPED brand's PEACH SPA space in Seongsu. Peach-themed space for enjoying fragrance, visuals, and sensibility.",,['https://www.popply.co.kr/placelist']
2388,2A.N,2A.N School in Seongsu,fashion,,2025-01-01,2025-02-28,,Seoul Seongdong-gu Seongsu-dong,,Korea,국내,,2A.N School in Seongsu pop-up store. Fashion brand targeting young consumers with trendy designs.,2025,['https://www.the-pr.co.kr/news/articleView.html?idxno=61283']
2389,Glow Seongsu,Glow Seongsu,fnb,,2025-01-01,permanent,,"Seoul Seongdong-gu Seongsu-i-ro 16-gil 32, Ju 3-dong",,Korea,국내,,Glow Seongsu dining space. Open daily 11:00-22:00 (last order 21:00). Near Seongsu Station Exit 3 (757m).,2025,['https://picks.my/ko_v2s/s/detail/31429/content.html']
2390,Repertory Seongsu,Repertory Seongsu,lifestyle_gifts,,2025-04-01,permanent,,"Seoul Seongdong-gu Yeonmujang-gil 49, 1F Na-dong",,Korea,국내,,"Sensory gift curation shop in former factory building. Features unique objets, handmade accessories, vintage silver jewelry, and emerging artist works. Hours 11:30-20:00. Near Seongsu Station Exit 4 (316m).",2025,['https://picks.my/ko_v2s/s/detail/31429/content.html']
2391,Postes,Postes Seongsu Boutique,fragrance,,2025-04-28,permanent,,Seoul Seongdong-gu Yeonmu-dong-gil,,Korea,국내,,Genderless perfume brand boutique by graphic designer and fragrance collector Mok Young-kyo. 'From' series capturing city lights and moments. Inspired by love letter memories with city-themed fragrances.,2025,['https://picks.my/ko_v2s/s/detail/31429/content.html']
2392,Longchamp,Longchamp Team Spirit Pop-up,luxury_fashion,,2024-10-01,2024-10-31,,Seoul Seongdong-gu Seongsu-dong,,France,프랑스,,Longchamp 'Team Spirit' themed pop-up combining energy and elegance. Fashion brand experience pop-up in Seongsu.,2024,['https://e-encyclopedia.tistory.com/27']
2393,Disney+,Uncle Samsik Pop-up,entertainment,,2024-05-01,2024-05-31,,Seoul Seongdong-gu Yeonmujang-gil,,USA,미국,,Disney+ original series 'Uncle Samsik' pop-up with bakery and office sets from the show recreated. Promotional pop-up for series launch.,2024,['https://hanquoclythu.blogspot.com/2024/09/seongsu-dong-thanh-ia-cua-cac-cua-hang.html']
2394,YouTube FanFest,YouTube FanFest Korea 2026,entertainment,,2026-05-01,2026-05-31,,Seoul Seongdong-gu Seongsu-dong area,,USA,미국,,"YouTube FanFest Korea 2026 featuring popular creators (Jamtul TV, Gomong, Neodult, KwakTube). Fan meetups, content zones, YouTube AI technology experiences.",,['https://www.financialreview.co.kr/news/articleView.html?idxno=42058']
2395,산리오캐릭터즈,산리오캐릭터즈 시크릿 가든,애니/캐릭터,,2026-04-01,2026-04-30,,서울 성동구 성수이로7길 28 크리스마스 하우스,,일본,일본,,"역대급 굿즈 라인업, '비밀 정원' 테마, 현장 예약 시스템 운영",,"['https://popga.co.kr', 'https://korean.visitseoul.net']"
2396,젤리캣,젤리캣 스페이스,애니/캐릭터,,2025-12-01,2025-12-28,,서울 성동구 연무장길 95 엠엠성수,,영국,영국,,"세계 최초 우주 컨셉, 현장 대기 필수(오픈런 추천)",2025,['https://pouranything.tistory.com']
2397,주토피아,주토피아2 X SKZOO,애니/캐릭터,,2025-11-15,2025-12-07,,서울 성동구 연무장길 65 +LECT 성수,,한국,국내,,"스키즈 팬 필수, 네이버 예약 권장",2025,['https://pouranything.tistory.com']
2398,팝마트,팝마트 윈터 빌리지,애니/캐릭터,,2025-12-01,2025-12-31,,서울 성동구 연무장7길 13 올리브영N 성수 1층,,중국,중국,,피규어와 올영 어워즈템 동시 구경,2025,['https://pouranything.tistory.com']
2399,루이까또즈,"루이까또즈 '끌로델, 시간의 상점'",패션/액세서리,,2025-12-05,2025-12-14,,서울 성동구 뚝섬로17길 35 플라츠 2,,프랑스,프랑스,,"80년대 헤리티지 전시와 포토부스, 카페까지",2025,['https://pouranything.tistory.com']
2400,메디앤서,메디앤서 '스티키 걸스 파티',뷰티,,2025-12-05,2025-12-14,,서울 성동구 연무장길 81 뷰티 스페이스 1,,한국,국내,,"뷰티 팝업, 피부 테스트받고 사은품",2025,['https://pouranything.tistory.com']
2401,아디다스,아디다스 이큅먼트(EQT) 팝업,패션/스포츠,,2025-12-04,2025-12-17,,서울 성동구 성수동2가 무신사 스토어 성수,,독일,독일,,"90년대 '이큅먼트' 아카이브 전시와 2025 SS 신제품, 현장 구매 불가 CONFIRMED 앱으로 구매",2025,['https://pouranything.tistory.com']
2402,케이팝 데몬 헌터스,케이팝 데몬 헌터스 공식 팝업,애니/엔터테인먼트,,2025-12-04,2025-12-28,,서울 성동구 연무장19길 7 스테이지 35,,한국,국내,,"넷플릭스 애니 공식 팝업, 더피/서씨 인형 등 굿즈 다양",2025,['https://korean.visitseoul.net/events/KpopDemonHunters-Popup']
2403,샤넬,샤넬 No.5 익스피리언스 팝업,뷰티/향수,,2025-05-01,2025-05-31,,서울 성동구 연무장길 11,,프랑스,프랑스,,샤넬 향수 오감 체험 및 맞춤형 추천,2025,['https://flying-people0101.tistory.com']
2404,바닐라코,바닐라코 X 헬로키티 팝업,뷰티,,2025-05-08,2025-05-19,,서울 성동구 연무장길 81 무신사 뷰티 스페이스 1,,한국,국내,,"헬로키티 콜라보 한정판 출시, 포토존 이벤트",2025,['https://flying-people0101.tistory.com']
2405,농심,농심 짜파게티 분식점 팝업,F&B,,2025-04-12,2025-05-11,,서울 성동구 연무장길 35 스테이지35 성수,,한국,국내,,짜파게티 40주년 레트로 분식점 체험,2025,['https://flying-people0101.tistory.com']
2406,크로우캐년,크로우캐년 팝업,패션/라이프스타일,,2025-05-19,2025-05-29,,서울 성동구 성수이로7길 24 로우로우 월드와이드서울,,미국,미국,,빅토리아 슈즈 콜라보 굿즈 전시,2025,['https://flying-people0101.tistory.com']
2407,센카,센카 '지우는 연구소' 팝업,뷰티,,2025-05-20,2025-05-29,,서울 성동구 서울숲2길 42 갤러리 더봄,,일본,일본,,'퍼펙트 휩' 제품 체험,2025,['https://flying-people0101.tistory.com']
2408,칠성사이다X라보에이치,칠성사이다X라보에이치 팝업,뷰티,,2025-05-16,2025-05-28,,서울 성동구 아차산로11길 7 아모레 성수,,한국,국내,,두피케어 제품 체험 및 할인 이벤트,2025,['https://flying-people0101.tistory.com']
2409,러쉬,러쉬 팝업씨어터 - 비 마이 커튼콜,뷰티/체험,,2026-01-27,2026-03-31,,서울 성동구 연무장길 58-1 러쉬 성수점,,영국,영국,,"묘한 공연 프로젝트, 별도 예약 없이 거리 공연 형식으로 관람 가능",,"['https://popga.co.kr', 'https://www.hinews.co.kr']"
2410,나이키,나이키스킴스 팝업,패션/스포츠,,2026-02-26,2026-03-09,,서울 성동구 연무장5길 20 쎈느Scene 성수,,미국,미국,,"나이키 x 스킴스 콜라보, 전 세계 주목 콜라보, 프라이빗 클래스 진행",,['https://popga.co.kr']
2411,폴로 랄프로렌,폴로 랄프로렌 at 무신사 스토어,패션,,2025-08-20,2025-09-03,,서울 성동구 성수이로 74 무신사 스토어 성수 대림창고,,미국,미국,,"7% 할인, 베이스볼 캡슐 컬렉션 구매 시 사은품, 무신사 리미티드 에디션",2025,['https://blog.naver.com/farbemaria']
2412,몽벨,몽벨 50주년 기념 팝업스토어,패션/아웃도어,,2025-08-20,2025-09-03,,서울 성동구 성수이로 74 무신사 스토어 성수 대림창고,,프랑스,프랑스,,"25FW 몽벨 의류 무신사 단독 선발매 10% 할인, 50주년 기념 한정 의류",2025,['https://blog.naver.com/farbemaria']
2413,라로슈포제,라로슈포제 라이프 체인징 시크릿 팝업,뷰티,,2025-08-28,2025-09-06,,서울 성동구 연무장길 95 MM성수,,프랑스,프랑스,,"팝업 리미티드 키트 증정, 단독 할인 기획세트, 50번째 방문객 선물",2025,['https://blog.naver.com/farbemaria']
2414,오브제,오브제 올리브영N성수 팝업,뷰티,,2025-08-28,2025-09-07,,서울 성동구 연무장7길 13 올리브영N성수 (팩토리얼 성수),,한국,국내,,"선스틱 1위 포어제로 오일 컨트롤 선스틱 체험, 게임 참여 시 선물",2025,['https://blog.naver.com/farbemaria']
2415,루트인성수,루트인성수 웰니스 팝업,라이프스타일/웰니스,,2025-08-01,2025-09-07,,서울 성동구 성수일로 33,,한국,국내,,"300평 독립 공간, 지하~3층 둘러볼 수 있는 향기, 수면케어, 패션, 커피, 운전 등 다양한 웰니스 체험",2025,['https://blog.naver.com/farbemaria']
2416,NCT WISH,NCT WISH 'FIND YOUR COLOR',K-POP/엔터테인먼트,,2025-09-02,2025-09-09,,서울 성동구 연무장길 65 / 서울 성동구 아차산로 116,,한국,국내,,"컬러타운 스탬프 투어, 위시돌 포토카드 증정, 앨범 구매 및 럭키드로우",2025,['https://blog.naver.com/farbemaria']
2417,하겐다즈,달콤한 럭셔리 하겐다즈 팝업스토어,F&B,,2025-09-05,2025-09-14,,서울 성동구 연무장길 98,,미국,미국,,"달콤한 럭셔리 테마, 포토존 다수",2025,['https://blog.naver.com/farbemaria']
2418,캐스퍼,캐스퍼 취향 충전소 팝업,라이프스타일/자동차,,2025-09-07,2025-09-14,,서울 성동구 연무장5길 20 쎈느Scene 성수,,한국,국내,,"캐스퍼 전시, 커스텀 키링 만들기, 이나피스퀘어 콜라보 엽서 꾸미기, 포토부스",2025,['https://blog.naver.com/farbemaria']
2419,대상그룹,대상그룹 핀란드 영양분식 팝업,F&B,,2025-09-12,2025-09-21,,서울 성동구 연무장길 95 MM성수,,한국,국내,,"미쉐린 3스타 밍글스 강민구 셰프, 흑백요리사 송하슬람 셰프 콜라보, 영양군 식재료 메뉴",2025,['https://blog.naver.com/farbemaria']
2420,라부부,라부부의 수상한 편의점,애니/캐릭터,,2025-09-12,2025-09-25,,서울 성동구 연무장길 65 LECT,,중국,중국,,"다양한 라부부 제품 체험, 미션 수행형 팝업",2025,['https://blog.naver.com/farbemaria']
2421,롬앤,롬앤 플래그십 스토어 팝업,뷰티,,2025-05-01,2025-05-31,,서울 성동구 연무장길 14-1,,한국,국내,,"'핑크오피스' 콘셉트, 한정판 제품과 포토존, 특별 이벤트",2025,['https://earscoming.tistory.com']
2422,스텔라이브,스텔라이브 봄빛데이트 팝업스토어,K-POP/엔터테인먼트,,2025-05-10,2025-05-16,,서울 성동구 성수일로4길 12,,한국,국내,,"공식 팝업스토어, 다양한 굿즈와 체험 프로그램",2025,['https://earscoming.tistory.com']
2423,토리든,토리든 커넥트 성수,뷰티,,2026-04-01,2026-05-31,,서울 성동구 연무장길 81,,한국,국내,,"스킨케어 브랜드 토리든 팝업스토어, 제품 테스트와 샘플 증정, 다이브인 세럼 체험",,"['https://popga.co.kr', 'https://map.yuhee.kr']"
2424,추카(Chukha),추카 팝업스토어,라이프스타일,,2026-05-01,2026-06-28,,서울 성동구 연무장5가길 22,,한국,국내,,"시어버터 핸드크림 브랜드 론칭, 365일 각각 다른 패키지, SNS 팔로우 시 미니게임, 생일 방문객 선착순 핸드크림 증정",,['https://content.map.heypop.kr']
2425,러븀,러븀 팝업,뷰티,,2026-04-20,2026-05-15,,서울 성동구 연무장길 81 무신사 뷰티 스페이스 1,,한국,국내,,뷰티 브랜드 팝업,,['https://popga.co.kr']
2426,무신사,무신사 메가스토어 성수 오픈 이벤트,패션,,2026-04-15,2026-04-30,,서울 성동구 성수이로 74 무신사 대림창고,,한국,국내,,"무신사 메가스토어 오픈 기념 이벤트, 다양한 브랜드 팝업",,['https://popga.co.kr']
2427,웨이크메이크,웨이크메이크 x 브링그린 x 오징어게임2,뷰티,,2024-12-20,2025-02-02,,서울 성동구 연무장7길 13 올리브영N성수,,한국,국내,,"오징어게임2 콜라보, 총상금 456만원 럭키드로우, 구매 시 핑크 리본 파우치 증정",2024,['https://blog.naver.com/noha9513']
2428,레이크하우스,레이크하우스 성수 팝업스토어,라이프스타일,,2025-01-01,2025-01-19,,서울 성동구 뚝섬로 17길 33,,한국,국내,,"솔리튜드 제품 체험 및 구매, 정식 매장 형태",2025,['https://blog.naver.com/noha9513']
2429,999HUMANITY,999HUMANITY 성수 팝업스토어,패션,,2025-01-01,2025-01-22,,서울 성동구 성수이로 74 무신사 성수 대림창고,,한국,국내,,"시즌 오프 제품 최대 40% 할인, -9도 보다 추운 날 방한용품 추가 할인",2025,['https://blog.naver.com/noha9513']
2430,NCT Zone,NCT Zone 1주년 기념 팝업스토어,K-POP/엔터테인먼트,,2024-12-20,2025-01-20,,서울 성동구 성수이로 74 무신사 크웨어 4,,한국,국내,,"앱 설치 시 게임 쿠폰, 팝업 기념 패키지, SSR CARD LUCKY DRAW",2024,['https://blog.naver.com/noha9513']
2431,레드룸,레드룸 2F,라이프스타일,,2025-01-01,2025-03-31,,서울 성동구 성수이로7가길 23 2층,,한국,국내,,"스페셜 프레그런스 태그 증정, 주사위 게임 선물, 구매 금액별 사은품",2025,['https://blog.naver.com/noha9513']
2432,취,취 팝업스토어,뷰티,,2025-01-01,2025-01-16,,서울 성동구 연무장길 77 AK밸리 앞,,한국,국내,,"한국의 멋과 향, 인스타그램 팔로우&인증샷 시 굿즈, 전제품 최대 40% 할인",2025,['https://blog.naver.com/noha9513']
2433,아이소이,아이소이 로즈 팝업스토어,뷰티,,2025-01-09,2025-02-02,,서울 성동구 연무장7길 12 1층,,한국,국내,,"미션 3개 완료 시 아이소이 리유저블 백 + 5종 샘플, 사전예약 시 로즈 생화 증정",2025,['https://blog.naver.com/noha9513']
2434,판옵티콘,판옵티콘 고양이 팝업,라이프스타일/펫,,2025-10-23,2025-11-01,,서울 성동구 연무장길 13 1층 태그,,한국,국내,,"고양이를 진심인 사람들을 위한 팝업, 고양이 관련 굿즈 전시",2025,['https://letter.wepick.kr']
2435,케이스어랏,케이스어랏 X 윤동희 팝업,패션/스포츠,,2025-10-22,2025-10-26,,서울 성동구 성수이로18길 43 무신사 스페이스 성수 3,,한국,국내,,"윤동희 선수 단독 팝업, 현장 전시·착용만 가능, 한정 반팔티와 스페셜 굿즈",2025,['https://letter.wepick.kr']
2436,사브리나 카펜터,사브리나 카펜터 팝업 - Man's Best Friend,F&B/체험,,2025-11-06,2025-11-12,,서울 성동구 뚝섬로 389 HAHAHA SEONGSU,,미국,미국,,"시그니처 디저트와 포토존, 스탬프 투어, 가챠 이벤트",2025,['https://letter.wepick.kr']
2437,쎄봉라마,어쩌다 열린 팝업,라이프스타일,,2025-11-06,2025-11-23,,서울 성동구 성수이로 77 라인프렌즈 스퀘어 성수,,한국,국내,,"부리, 코코리, 먼데 첫 오프라인 공간, 쎄봉라마 유니버스, 팝업 한정 굿즈",2025,['https://letter.wepick.kr']
2438,하이큐,하이큐 10주년 기념전,애니/전시,,2025-07-29,2025-09-21,,서울 성동구 연무장 15길 11 S factory,,일본,일본,,"하이큐 애니메이션 시즌 1~4 하이라이트 명장면 대형 패널 전시, 입장객 전원 특전 포스터 카드 증정",2025,['https://first.info-pinocchio.co.kr']
2439,TFT,전략적 팀 전투 팝업스토어: K.O. 콜로세움,게임/엔터테인먼트,,2025-08-01,2025-08-10,,서울 성동구 연무장13길 11,,미국,미국,,"롤 게임 팝업, 네이버 사전 예약, 이벤트 매치 진행, K.O. 콜로세움 한정 웰컴키트",2025,['https://teamfighttactics.leagueoflegends.com']
2440,감자밭마켓,감자밭마켓 2.0,F&B,,2026-04-01,2026-04-30,,서울 성동구 연무장길 95 MM성수,,한국,국내,,"춘천 감자빵 성수 팝업, 한정판 성수 감자빵",,['https://ksm-wave2.tistory.com']
2441,샌드사운드,샌드사운드 트래블 팝업,라이프스타일,,2026-04-01,2026-04-30,,서울 성동구 연무장길 17,,한국,국내,,"여행 테마 감성 공간, 나만의 여행 태그 커스텀 체험존",,['https://ksm-wave2.tistory.com']
2442,새로,새로중앙박물관,주류/전시,,2026-04-01,2026-04-30,,서울 성동구 성수일로6길 10 현대 성수 복합거점,,한국,국내,,"소주 브랜드 박물관 컨셉 전시, 미디어 아트와 전통 소품, 시음 가능",,['https://ksm-wave2.tistory.com']
2443,SK텔레콤,SK텔레콤 T팩토리 팝업,테크/체험,,2026-02-27,2026-03-05,,서울 성동구 성수동2가 316-49 T팩토리 성수,,한국,국내,,"최신 스마트 디바이스, AI 체험, 인터랙티브 콘텐츠, 기술 기반 체험",,['https://blog.naver.com/davi-kim']
2444,BLACKPINK,BLACKPINK [DEADLINE] 팝업,K-POP/엔터테인먼트,,2026-02-28,2026-03-08,,서울 성동구 성수이로 74 무신사 스탠다드 성수,,한국,국내,,"아이돌 IP 기반 팝업, 한정 MD 판매, 콘셉트 포토존, 굿즈 전시",,['https://blog.naver.com/davi-kim']
2445,바세린 X OIOI,바세린 x OIOI 컬러 립 팝업,뷰티,,2026-02-28,2026-03-08,,서울 성동구 연무장7길 16,,미국/한국,미국/한국,,"컬러 립밤 체험형 공간, OIOI 스트리트 무드",,['https://blog.naver.com/davi-kim']
2446,비이커 X 살로몬,비이커 살로몬 팝업,패션/스포츠,,2026-02-20,2026-03-12,,서울 성동구 성수이로7길 24,,한국/프랑스,한국/프랑스,,"살로몬 트레일화 러닝화, 한정 컬러 제품 협업 모델 전시",,['https://blog.naver.com/davi-kim']
2447,오롤리데이,오롤리데이 팝업,패션/라이프스타일,,2025-05-19,2025-05-31,,서울 성동구 성수일로 4,,한국,국내,,'비해피어 캠페인' 그래픽 전시,2025,['https://flying-people0101.tistory.com']
2448,키엘,키엘 팝업 - 피부 장벽 응급 구조대,뷰티,,2026-04-01,2026-05-31,,서울 성동구 연무장길 81,,미국,미국,,"판테놀 함유 메디크림 신제품 체험, 더마리더 1:1 피부 진단 서비스, SOS 키트 증정",,['https://blog.naver.com/lyh_0331']
2449,앙개,앙개 팝업,패션,,2026-05-10,2026-05-20,,서울 성동구 연무장길 81,,한국,국내,,패션 브랜드 팝업,,['https://popga.co.kr']
